"COD_MUNICIPIO","MUNICIPIO","QTD_INTERNACOES","PERMANENCIA_MEDIA","TAXA_MORTALIDADE_PCT","VALOR_MEDIO_INTERNACAO","QTD_ESTAB_HOSPITALARES","POPULACAO","INTERNACOES_POR_MIL_HAB"
"350945","Campina do Monte Alegre",32,4.28,9.38,666.91,0,5954,5.37
"350315","Arapeí",11,4.55,9.09,1300.46,0,2330,4.72
"355170","Sertãozinho",560,4.37,4.64,1875.17,0,126887,4.41
"352210","Itanhaém",549,5.03,6.19,1433.41,0,112476,4.88
"353190","Morro Agudo",169,3.07,2.96,1302.81,0,27933,6.05
"355430","Teodoro Sampaio",177,5,2.82,861.53,0,22173,7.98
"353020","Mirante do Paranapanema",85,5.94,4.71,1618.24,0,15917,5.34
"350200","Analândia",21,4.67,9.52,1184.11,0,4589,4.58
"351610","Florínea",15,11.2,13.33,2012.5,0,3851,3.9
"355620","Valinhos",362,5.27,11.33,1838.56,0,126373,2.86
"350250","Aparecida",242,4.99,7.85,1665.34,0,32569,7.43
"351000","Cândido Mota",163,5.03,8.59,1675.66,0,29449,5.53
"351515","Engenheiro Coelho",68,5.74,10.29,2561.77,0,19566,3.48
"354995","São Lourenço da Serra",84,2.82,7.14,1196.28,0,16067,5.23
"355180","Sete Barras",72,5.47,12.5,1071.1,0,12730,5.66
"353480","Ouro Verde",46,5.96,4.35,1513.29,0,7779,5.91
"354105","Pratânia",34,6.5,2.94,2218.56,0,5126,6.63
"352780","Lupércio",8,6,25,736.59,0,3981,2.01
"350090","Altair",28,3.75,7.14,3009.42,0,3451,8.11
"350395","Aspásia",12,4.58,16.67,1999.7,0,1842,6.51
"355280","Taboão da Serra",1298,5.45,5.78,1580.82,0,273542,4.75
"354680","Santa Isabel",321,5.89,9.66,1354.21,0,53174,6.04
"353130","Monte Alto",235,5.09,6.81,2305.73,0,47574,4.94
"350530","Barra Bonita",184,4.38,13.59,1156.11,0,34346,5.36
"353890","Pirajuí",150,4.95,8.67,903.71,0,22431,6.69
"354430","Roseira",59,4,1.69,1123.88,0,10832,5.45
"351700","Getulina",48,7.1,6.25,1311,0,10232,4.69
"351950","Ibirarema",44,7.84,4.55,4169.42,0,6385,6.89
"351015","Canitar",23,4.13,8.7,1269.95,0,6283,3.66
"352960","Meridiano",15,2.8,13.33,1027.91,0,4572,3.28
"350430","Avaí",35,6.26,2.86,2589.69,0,4483,7.81
"352820","Macedônia",14,4.93,0,662.79,0,3963,3.53
"352540","Jeriquara",16,2.94,6.25,1273.46,0,3863,4.14
"354550","Sandovalina",41,5.98,0,875.72,0,3645,11.25
"355255","Suzanápolis",19,2.16,15.79,1328.97,0,3408,5.58
"350060","Águas de São Pedro",19,2.05,0,784.91,0,2780,6.83
"350410","Atibaia",608,4.86,8.39,1257.85,0,158647,3.83
"352000","Igaraçu do Tietê",90,5.57,14.44,1280.21,0,23106,3.9
"355720","Chavantes",109,3.18,6.42,795.7,0,12211,8.93
"350540","Barra do Turvo",34,6.24,2.94,2163.99,0,6876,4.94
"352630","Lagoinha",30,4.27,6.67,2932.74,0,5083,5.9
"353040","Mirassolândia",30,5.83,6.67,1830.21,0,4669,6.43
"351090","Cássia dos Coqueiros",18,2.56,11.11,1702.12,0,2799,6.43
"355715","Zacarias",27,6.07,7.41,2004.27,0,2692,10.03
"354930","São João do Pau d'Alho",16,10.63,12.5,1562.12,0,2242,7.14
"353060","Mogi das Cruzes",1881,6.28,7.81,1788.01,0,451505,4.17
"353350","Novo Horizonte",231,4.51,9.52,2290.86,0,38324,6.03
"350050","Águas de Lindóia",157,4.33,7.64,873.51,0,17930,8.76
"351430","Dourado",26,4.38,23.08,1838.74,0,8096,3.21
"354690","Santa Lúcia",34,3.85,8.82,1691.05,0,7149,4.76
"354820","Santo Antônio do Pinhal",30,9.53,10,3110.31,0,7133,4.21
"354320","Ribeirão do Sul",25,5.76,0,3041.93,0,4677,5.35
"351300","Cotia",1125,4.62,6.22,1433.92,0,274413,4.1
"354580","Santa Bárbara d'Oeste",611,4.57,4.26,1489.5,0,183347,3.33
"354940","São Joaquim da Barra",175,4.26,5.71,1351.78,0,48558,3.6
"352520","Jarinu",190,3.74,4.74,1306.74,0,37535,5.06
"350925","Cajati",160,5.13,6.25,1314.95,0,28515,5.61
"355050","São Pedro do Turvo",48,2.77,4.17,1565.24,0,7217,6.65
"353420","Orindiúva",25,3.76,0,1351.63,0,6024,4.15
"350120","Álvares Florence",20,3.55,5,1572.91,0,3915,5.11
"350715","Bom Sucesso de Itararé",8,5,25,3116.94,0,3555,2.25
"351650","Gabriel Monteiro",3,1.67,0,267.49,0,2763,1.09
"353215","Nantes",31,4.61,6.45,1723.62,0,2660,11.65
"353390","Olímpia",263,4.3,7.22,1744.43,0,55074,4.78
"351140","Cerqueira César",145,4.93,8.28,1453.42,0,21469,6.75
"352330","Itariri",63,7.05,15.87,2079.69,0,15528,4.06
"355110","Sarapuí",42,6.62,21.43,1614.61,0,10369,4.05
"351210","Colômbia",34,3.74,11.76,1426.43,0,6629,5.13
"354510","Salmourão",28,4.39,3.57,763.05,0,4808,5.82
"353325","Novais",19,7.53,10.53,3467.49,0,4412,4.31
"353830","Piquerobi",24,5.54,4.17,1302.34,0,3264,7.35
"353470","Ourinhos",552,4.43,8.33,2225.79,0,103970,5.31
"352180","Itaí",85,8,5.88,2255.33,0,25180,3.38
"354090","Pradópolis",66,6.44,6.06,1886.86,0,17078,3.86
"354490","Sales Oliveira",54,2.96,0,1555.11,0,11411,4.73
