COD_MUNICIPIO,MUNICIPIO,QTD_INTERNACOES,PERMANENCIA_MEDIA,TAXA_MORTALIDADE_PCT,VALOR_MEDIO_INTERNACAO,QTD_ESTAB_HOSPITALARES,POPULACAO,INTERNACOES_POR_MIL_HAB,internacoes_esperadas,razao_obs_esperado,cluster
354450,Rubinéia,24,3.46,12.5,1151.19,0,3833,6.26,17.041745492435943,1.4083064443517543,0
352350,Itatinga,119,4.72,6.72,1946.03,1,19070,6.24,84.78635182383341,1.4035277782355196,0
350040,Águas da Prata,46,7.41,2.17,1763.16,0,7369,6.24,32.76301135762078,1.4040223439137638,2
354220,Rancharia,178,3.75,10.11,1497.55,1,28588,6.23,127.10394472678288,1.400428604970688,0
350500,Barão de Antonina,22,4.0,13.64,844.47,0,3531,6.23,15.699035568429771,1.4013599691589498,1
351590,Floreal,17,4.29,11.76,1294.55,0,2733,6.22,12.151080206320751,1.3990525707465034,0
350240,Anhumas,25,3.4,8.0,996.76,0,4023,6.21,17.886496769128566,1.3977024300895566,0
353160,Monte Castelo,26,3.85,15.38,1296.33,0,4222,6.16,18.771262579980316,1.3850959619375407,1
354610,Santa Clara d'Oeste,16,7.44,12.5,2017.42,0,2598,6.16,11.550862193933884,1.385177983371895,1
352810,Macaubal,46,3.43,6.52,1365.01,1,7481,6.15,33.26097000493433,1.3830023596177685,0
350220,Angatuba,147,5.04,6.8,1386.28,1,24022,6.12,106.80323773005381,1.376362768809911,0
355510,Tupi Paulista,97,4.33,4.12,1666.96,1,15854,6.12,70.48782495097298,1.3761241755929803,0
351660,Gália,39,6.03,2.56,2228.44,1,6380,6.11,28.365858659468124,1.3748922769514804,2
354970,São José do Rio Pardo,319,4.57,6.27,1266.46,2,52205,6.11,232.1065284196761,1.374368925217003,0
350310,Arandu,42,4.36,7.14,1078.57,2,6885,6.1,30.6111186317301,1.3720504796079127,0
355370,Taquaritinga,318,3.6,4.09,810.41,3,52260,6.08,232.35106168398187,1.3686186656315276,0
351290,Cosmorama,53,4.34,3.77,1595.34,0,8719,6.08,38.76519148148943,1.3672059384849875,0
353000,Mira Estrela,19,5.95,5.26,2128.14,0,3126,6.08,13.898381531269179,1.367065651295655,0
354460,Sabino,31,5.52,0.0,899.06,0,5112,6.06,22.728255402382608,1.3639410263204919,0
355560,Uchoa,63,4.54,4.76,2261.71,0,10394,6.06,46.21234089443757,1.3632722078267,0
354560,Santa Adélia,85,5.91,5.88,2017.61,1,14018,6.06,62.324859982511626,1.363821756259878,0
353190,Morro Agudo,169,3.07,2.96,1302.81,1,27933,6.05,124.19177585186884,1.3607986425894794,0
354680,Santa Isabel,321,5.89,9.66,1354.21,1,53174,6.04,236.4147599308085,1.3577832454028973,1
350440,Avanhandava,68,6.34,7.35,1653.71,0,11263,6.04,50.07596647046857,1.357936846612872,0
351710,Glicério,25,3.28,4.0,1568.6,0,4138,6.04,18.397793594495155,1.3588585974505283,0
352480,Jales,294,5.19,6.8,2248.63,1,48776,6.03,216.86099090504973,1.3557071687859472,0
353350,Novo Horizonte,231,4.51,9.52,2290.86,1,38324,6.03,170.39077856825335,1.3557071687859472,0
352300,Itapura,24,4.96,8.33,600.25,0,3979,6.03,17.69087015768396,1.3566319681327657,0
351960,Ibitinga,362,4.14,3.59,1283.3,2,60033,6.03,266.9102810194122,1.356260982594642,0
350170,Américo Brasiliense,199,4.77,4.02,1777.07,0,33019,6.03,146.80443371112509,1.3555448903647074,0
353630,Patrocínio Paulista,87,5.9,8.05,1895.76,1,14512,6.0,64.52121330191245,1.3483937382408346,0
353330,Nova Luzitânia,17,6.35,0.0,1428.58,0,2837,5.99,12.613470378826186,1.3477654832041572,2
355530,Turmalina,10,3.4,10.0,1708.93,0,1669,5.99,7.420473056842054,1.3476229781306854,0
353380,Óleo,15,5.13,26.67,733.61,0,2512,5.97,11.168501089746698,1.3430629481489536,1
351230,Conchas,91,5.33,7.69,2139.74,1,15232,5.97,67.7223760346424,1.3437213123392227,0
